DrugName,Comments,Ratings,Sentiment
Traxemic acid,I am very pleased with Lysteda. My OBGYN prescribed this med for my heavy periods I've been suffering with since I had a tubal ligation in 2007.   I have just completed my first cycle and I pleased to say I FINALLY HAVE A LIGHT TO REGULAR FLOW PERIOD. THANK YOU FOR THIS MED..LIFE SAVER!,10,1
Traxemic acid,I can sleep through the night. No more getting up twice to just let it all out and clean up the mess. No more running to the bathroom every two hours because I'm leaking through. I love this.,10,1
Traxemic acid,My periods were getting worse. To the point I was flooding a super tampon in less than an hour and it was like a tap with clots the size of 50p. I have taken once month last month. 3 days  two tabs 3 times p/d. This month I have to take them but now I am 8 days late on my period. I already have fertility problems and had my left tube taken out 3years ago for the best interest of my health. I am 32 and  had two long term relationships. I've never used contraception with my 2 partners and have never conceived. I am awaiting further diagnosis from my gynaecologist. Just wondering has anyone else's cycle stopped completely taking these tablets?,10,1
Traxemic acid,"I used to have super heavy periods, where even standing up would be an issue (now have bloodstains all around the house from leaking) and I would leak through super plus tampon and super night pad together after just an hour, now my period is 'normal' I wouldn't call it light cause it's still not light I think but it's just normal like other people's periods and I think it is FAB! and I would recommend this to any fellow lady with crazy mental periods because I've not leaked since! wooooo ((however cramps have slightly worsened))",10,1
Traxemic acid,"I love this medication. I bleed super heavy during my cycle. A pad and tampon will last for an hour at most. My doctor wants to do ablation surgery, but I wanted to try the medicine first. It really reduced the bleeding, but my periods went from 9 days to 13.  However, they are light days so I'm happy. For the first 4 months I got a headache with each dose, but now that has gone away.",10,1
Traxemic acid,"I have fibroids and my periods reflects this with large clots, blood pouring into toilet, soaking super size tampon in 25 minutes and severe cramps. Took this medication as prescribed, (2 tablets every 8 hours up to five days) and by dose 3, my period gets manageable. I use Tynol Extra Strength for my cramping pain because Advil is a blood thinner and it works good. I can go 2 hours with a super size tampon now and the extreme heavy bleeding is down to a ""normal"" heavy period. I'd say it reduced bleeding by 40 to 50 %. Instead of 5 or 6 days of bleeding heavy, it's 3 days of "" normal"" heavy and 6 days in total of menstruation. Ladies I recommend giving this a go if you also have severe heavy periods. Mild headache as side effect but it is tummy friendly and I have my life back during my periods.",10,1
Traxemic acid,This medicine is a blessing  I am 43 years old I eat healthy and exercise everyday except weekends. On March 15 2017 I was given the depot shot for my heavy bleeding BIG MISTAKE. From the shot I experience more bleeding and blood clots then I ever experience prior to me taking the shot. My bleeding continued for over 90 days I was admitted to the hospital for low blood and had to have a 4 pints of blood transfusion.  On  July 4 my doctor prescribed Lysteda I did experience some cramping and back pain but after 5 days of taking this medicine 3 times a day my bleeding stop completely now husband and I are much happier people!!,10,1
Traxemic acid,Where has this been all my life?  My cycles were really heavy.  I would use an ultra tampon and have an overnight pad on as well.  I would go to the bathroom every hour.  Now I can go every 3-4 hours.  I don't have to worry about getting up in the middle of the night changing pads.  Now I can move on with life and don't have to worry about going somewhere on cycle days.,10,1
Traxemic acid,"Tranexamic acid stops my heavy bleeding I take it 3 times a day and I  take it only one day and it stops my bleeding otherwise my bleeding never stops not even any birth control pills help.
It stops my bleeding so I am happy to use it.
But take original brand as the 
generic never help me",10,1
Traxemic acid,"I've been on Lysteda for 6 months and it really has saved my sanity. I didn't want to jump the gun with a review as I've had birth control pills work for a month or 2 then suddenly my period would come back as bad, if not worse, and lasted once for 41 days! The bleeding and clotting sending me to the bathroom every 30-45 mins has stopped, no more getting up in the middle of the night or changing the sheets at 4am and I've been very lucky with no side effects. 6 pills a day is a lot but considering the alternative of unstoppable bleeding, I happily take them.  It's not a total miracle, I still have ""heavy"" days those would've been a good day for me in the past.  It's worth it, I'm very happy with it.",10,1
Traxemic acid,Works very well for heavy bleeding during menstrual cycle,10,1
